Fri Mar 24 02:28:37 2023    ./matching/matching.prof

         83749 function calls in 17.593 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      120    0.000    0.000    0.000    0.000 factorgraph.py:141(<listcomp>)
       11    0.000    0.000    0.002    0.000 std.py:1164(__str__)
       55    0.000    0.000    0.004    0.000 ansitowin32.py:168(write)
      120    0.000    0.000    0.000    0.000 factorgraph.py:157(<listcomp>)
        1    0.000    0.000    0.000    0.000 {built-in method _pickle.dump}
       22    0.000    0.000    0.000    0.000 utils.py:222(_is_ascii)
       33    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
       11    0.000    0.000    0.004    0.000 std.py:1478(display)
       55    0.000    0.000    0.004    0.000 ansitowin32.py:46(write)
       12    0.000    0.000    0.000    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
       30    0.000    0.000    0.000    0.000 __init__.py:70(calc_draw_margin)
        1    0.000    0.000    0.002    0.002 trueskill_.py:48(printer)
       11    0.000    0.000    0.000    0.000 std.py:188(__format__)
       50    0.000    0.000    0.000    0.000 __init__.py:221(w_win)
        1    0.000    0.000   17.593   17.593 {built-in method builtins.exec}
       10    0.000    0.000    0.004    0.000 std.py:1339(refresh)
       12    0.000    0.000    0.000    0.000 std.py:108(release)
      173    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
       30    0.000    0.000    0.000    0.000 __init__.py:294(<listcomp>)
       30    0.000    0.000    0.000    0.000 factorgraph.py:183(__init__)
       22    0.000    0.000    0.000    0.000 std.py:288(format_interval)
       10    0.000    0.000    0.000    0.000 __init__.py:232(w_draw)
       33    0.000    0.000    0.001    0.000 utils.py:333(disp_len)
       30    0.000    0.000    0.000    0.000 backends.py:50(ppf)
       20    0.000    0.000    0.000    0.000 __init__.py:213(v_draw)
       11    0.000    0.000    0.002    0.000 std.py:342(fp_write)
      120    0.000    0.000    0.000    0.000 __init__.py:493(<genexpr>)
