Tue Mar 28 00:11:28 2023    ./matching/matching.prof

         475538238 function calls (475538189 primitive calls) in 250.674 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)       
   200000    0.390    0.000   68.914    0.000 trueskill_.py:58(update_rating) 
   200000    0.388    0.000    1.158    0.000 {method 'load_strategy' of 'bitboard.bitothello.OthelloGameC' objects}
  4100070    0.371    0.000    0.371    0.000 {method 'append' of 'list' objects}
   800000    0.364    0.000    0.508    0.000 factorgraph.py:141(<listcomp>)  
   400000    0.355    0.000    0.770    0.000 strategy.py:33(__init__)        
   800000    0.344    0.000    0.490    0.000 factorgraph.py:157(<listcomp>)  
  2533408    0.340    0.000    0.340    0.000 {built-in method math.exp}      
     2325    0.335    0.000    0.335    0.000 {method 'write' of '_io.TextIOWrapper' objects}
   200000    0.312    0.000    0.935    0.000 __init__.py:331(<listcomp>)     
   400000    0.295    0.000    2.823    0.000 __init__.py:353(build_team_diff_layer)
   200000    0.290    0.000    0.572    0.000 factorgraph.py:183(__init__)    
   383324    0.262    0.000    1.600    0.000 __init__.py:221(w_win)
   200000    0.255    0.000    1.989    0.000 __init__.py:70(calc_draw_margin)   100000    0.221    0.000  169.782    0.002 QL_training.py:43(matching)     
   100000    0.215    0.000    1.034    0.000 std.py:1212(update)
   200000    0.202    0.000    1.706    0.000 backends.py:50(ppf)
   800000    0.185    0.000    0.185    0.000 factorgraph.py:115(calc_a)      
   200000    0.183    0.000    0.492    0.000 __init__.py:332(<listcomp>)     
   800000    0.169    0.000    0.296    0.000 __init__.py:493(<genexpr>)      
  1004639    0.165    0.000    0.165    0.000 {built-in method builtins.isinstance}
   200000    0.163    0.000    0.197    0.000 __init__.py:294(<listcomp>)     
   200000    0.154    0.000    0.441    0.000 __init__.py:333(<listcomp>)     
   200000    0.134    0.000    0.331    0.000 __init__.py:292(validate_weights)
   200000    0.116    0.000    0.116    0.000 {built-in method math.log}      
   200000    0.100    0.000    0.174    0.000 __init__.py:1436(info)
   200000    0.098    0.000    0.240    0.000 __init__.py:334(<listcomp>)     
   600000    0.095    0.000    0.095    0.000 __init__.py:508(<genexpr>)      
   200000    0.082    0.000    0.082    0.000 __init__.py:663(global_env)     
   461517    0.077    0.000    0.114    0.000 utils.py:330(<genexpr>)
   600000    0.069    0.000    0.069    0.000 random.py:29(__init__)
       20    0.065    0.003    0.065    0.003 {method 'reduce' of 'numpy.ufunc' objects}
   200000    0.065    0.000    0.065    0.000 __init__.py:511(<listcomp>)     
     2286    0.062    0.000    0.267    0.000 std.py:355(format_meter)        
   400000    0.061    0.000    0.061    0.000 __init__.py:485(<lambda>)
   400003    0.056    0.000    0.056    0.000 {method 'extend' of 'list' objects}
   200000    0.055    0.000    0.055    0.000 {method 'auto_mode' of 'bitboard.bitothello.OthelloGameC' objects}
    33352    0.054    0.000    0.242    0.000 __init__.py:213(v_draw)
   400000    0.054    0.000    0.054    0.000 {method 'return_turn' of 'bitboard.bitothello.OthelloGameC' objects}
   400000    0.047    0.000    0.047    0.000 __init__.py:507(<lambda>)       
   200000    0.040    0.000    0.040    0.000 {built-in method builtins.callable}
   200000    0.039    0.000    0.039    0.000 qlearning.py:85(return_dict)    
   454659    0.037    0.000    0.037    0.000 {built-in method unicodedata.east_asian_width}
    16676    0.036    0.000    0.227    0.000 __init__.py:232(w_draw)
   200000    0.034    0.000    0.034    0.000 {method 'pop' of 'set' objects} 
    18333    0.032    0.000    0.043    0.000 {method 'format' of 'str' objects}
    13705    0.018    0.000    0.018    0.000 std.py:233(__call__)
     2286    0.012    0.000    0.016    0.000 std.py:1460(format_dict)        
     2286    0.012    0.000    0.294    0.000 std.py:1164(__str__)
     2306    0.011    0.000    0.351    0.000 ansitowin32.py:201(write_plain_text)
     2285    0.010    0.000    0.799    0.000 std.py:1339(refresh)
     4572    0.010    0.000    0.014    0.000 utils.py:222(_is_ascii)
     6858    0.010    0.000    0.010    0.000 {method 'sub' of 're.Pattern' objects}
     2306    0.009    0.000    0.374    0.000 ansitowin32.py:185(write_and_convert)
     2306    0.009    0.000    0.013    0.000 ansitowin32.py:253(convert_osc) 
     2286    0.008    0.000    0.010    0.000 std.py:188(__format__)
     2286    0.008    0.000    0.758    0.000 std.py:1478(display)
     2289    0.008    0.000    0.018    0.000 std.py:104(acquire)
     2289    0.008    0.000    0.013    0.000 std.py:108(release)
     2289    0.008    0.000    0.008    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
     2286    0.008    0.000    0.395    0.000 std.py:342(fp_write)
     4571    0.008    0.000    0.020    0.000 std.py:288(format_interval)     
     2286    0.007    0.000    0.454    0.000 std.py:348(print_status)        
     6858    0.007    0.000    0.171    0.000 utils.py:333(disp_len)
     4593    0.006    0.000    0.006    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
     6858    0.006    0.000    0.154    0.000 utils.py:329(_text_width)       
       29    0.006    0.000    0.006    0.000 {method '__exit__' of '_io._IOBase' objects}
     4574    0.006    0.000    0.387    0.000 utils.py:143(inner)
     2285    0.006    0.000    0.006    0.000 {built-in method now}
     2306    0.005    0.000    0.383    0.000 ansitowin32.py:46(write)        
     2286    0.005    0.000    0.006    0.000 std.py:155(__init__)
     4612    0.005    0.000    0.005    0.000 {method 'finditer' of 're.Pattern' objects}
     9680    0.005    0.000    0.005    0.000 {built-in method time.time}     
     2289    0.004    0.000    0.004    0.000 {method 'release' of '_multiprocessing.SemLock' objects}
    48006    0.004    0.000    0.004    0.000 {built-in method builtins.ord}  
       24    0.004    0.000    0.004    0.000 {built-in method io.open}       
     2306    0.003    0.000    0.377    0.000 ansitowin32.py:168(write)       
     2286    0.003    0.000    0.064    0.000 utils.py:341(disp_trim)
        1    0.002    0.002  250.674  250.674 <string>:1(<module>)
     4637    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
     2292    0.002    0.000    0.002    0.000 {method 'acquire' of '_thread.RLock' objects}
     2286    0.002    0.000    0.002    0.000 utils.py:57(__init__)
    11428    0.002    0.000    0.002    0.000 {built-in method builtins.divmod}
     2287    0.002    0.000    0.002    0.000 {method 'update' of 'dict' objects}
     2286    0.001    0.000    0.001    0.000 utils.py:61(__format__)
     2292    0.001    0.000    0.001    0.000 {method 'release' of '_thread.RLock' objects}
     2286    0.001    0.000    0.001    0.000 std.py:169(colour)
       29    0.001    0.000    0.001    0.000 {built-in method nt.stat}       
     2286    0.001    0.000    0.001    0.000 std.py:165(colour)
       20    0.000    0.000    0.001    0.000 _methods.py:66(_count_reduce_items)
       20    0.000    0.000    0.066    0.003 _methods.py:162(_mean)
        6    0.000    0.000    0.000    0.000 {built-in method marshal.loads} 
        1    0.000    0.000    0.000    0.000 {built-in method _imp.create_dynamic}
        4    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
       58    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:91(_path_join)
       28    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
        6    0.000    0.000    0.000    0.000 {built-in method io.open_code}  
        6    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
       20    0.000    0.000    0.066    0.003 function_base.py:280(average)   
       20    0.000    0.000    0.000    0.000 {built-in method _locale._getdefaultlocale}
       20    0.000    0.000    0.066    0.003 <__array_function__ internals>:2(average)
